terrain_path,satellite_path,slope_variation,elevation_change,water_proximity,vegetation_density,coastal,has_lake,has_river,z,x,y
10580_25671.png,10580_25671.png,0.0,0.0,0.0,0.34652215242385864,False,False,False,16,10580,25671
10580_25672.png,10580_25672.png,0.0,0.0,0.0,0.3486282527446747,False,False,False,16,10580,25672
10580_25673.png,10580_25673.png,0.0,0.0,0.0,0.34521567821502686,False,False,False,16,10580,25673
10580_25674.png,10580_25674.png,0.0,0.0,0.0,0.33105337619781494,False,False,False,16,10580,25674
10580_25675.png,10580_25675.png,0.0,0.0,0.0,0.3120521605014801,False,False,False,16,10580,25675
10580_25676.png,10580_25676.png,0.0,0.0,0.0,0.3120245337486267,False,False,False,16,10580,25676
10580_25677.png,10580_25677.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25677
10580_25678.png,10580_25678.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25678
10580_25679.png,10580_25679.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25679
10580_25680.png,10580_25680.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25680
10580_25681.png,10580_25681.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25681
10580_25682.png,10580_25682.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25682
10580_25683.png,10580_25683.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25683
10580_25684.png,10580_25684.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25684
10580_25685.png,10580_25685.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25685
10580_25686.png,10580_25686.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25686
10580_25687.png,10580_25687.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25687
10580_25688.png,10580_25688.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25688
10580_25689.png,10580_25689.png,0.0,0.0,0.0,0.3125,False,False,False,16,10580,25689
