terrain_path,satellite_path,slope_variation,elevation_change,water_proximity,vegetation_density,coastal,has_lake,has_river,z,x,y
19073_24793.png,19073_24793.png,0.019192163149515787,74.900390625,0.0670166015625,0.37173891067504883,False,False,False,16,19073,24793
19073_24794.png,19073_24794.png,0.011493093768755595,78.099609375,0.0006866455078125,0.366698294878006,False,False,False,16,19073,24794
19073_24795.png,19073_24795.png,0.014208582043647767,78.0,0.0012359619140625,0.3662717938423157,False,False,False,16,19073,24795
19073_24796.png,19073_24796.png,0.011777121822039287,52.2998046875,0.001251220703125,0.3685566186904907,False,False,False,16,19073,24796
19073_24797.png,19073_24797.png,0.012623276313145955,58.400390625,0.0042724609375,0.3709224760532379,False,False,False,16,19073,24797
19073_24798.png,19073_24798.png,0.006107808649539947,31.599609375,0.0008544921875,0.35408803820610046,False,False,False,16,19073,24798
19073_24799.png,19073_24799.png,0.009007014830907186,42.2998046875,0.0083160400390625,0.3487918972969055,False,False,False,16,19073,24799
19073_24800.png,19073_24800.png,0.005097618202368418,26.2001953125,0.00054931640625,0.34471726417541504,False,False,False,16,19073,24800
19073_24801.png,19073_24801.png,0.005912801623344422,27.599609375,0.000335693359375,0.3445354402065277,False,False,False,16,19073,24801
19073_24802.png,19073_24802.png,0.008988442023595174,45.6005859375,0.0010833740234375,0.3479122519493103,False,False,False,16,19073,24802
19073_24803.png,19073_24803.png,0.009172853827476502,60.7001953125,0.0189666748046875,0.34016045928001404,False,False,False,16,19073,24803
19073_24804.png,19073_24804.png,0.015369650721549988,48.099609375,0.0,0.3427145481109619,False,False,False,16,19073,24804
19073_24805.png,19073_24805.png,0.01390621562798818,71.7998046875,0.0043487548828125,0.37059763073921204,False,False,False,16,19073,24805
19073_24806.png,19073_24806.png,0.00998588999112447,30.0,0.0043487548828125,0.3698703646659851,False,False,False,16,19073,24806
19074_24793.png,19074_24793.png,0.017116711537043253,85.099609375,0.007904052734375,0.3668791353702545,False,False,False,16,19074,24793
19074_24794.png,19074_24794.png,0.02171365221341451,77.8994140625,0.0577392578125,0.37003299593925476,False,False,False,16,19074,24794
19074_24795.png,19074_24795.png,0.020186312993367515,72.2001953125,0.03607177734375,0.3707926273345947,False,False,False,16,19074,24795
19074_24796.png,19074_24796.png,0.020637587706247965,64.400390625,0.0418853759765625,0.3723372519016266,False,False,False,16,19074,24796
19074_24797.png,19074_24797.png,0.015068814158439636,75.099609375,0.01287841796875,0.3734450042247772,False,False,False,16,19074,24797
19074_24798.png,19074_24798.png,0.008704781532287598,51.5,0.0003204345703125,0.36179184913635254,False,False,False,16,19074,24798
19074_24799.png,19074_24799.png,0.008921678860982258,43.2998046875,0.011383056640625,0.34589892625808716,False,False,False,16,19074,24799
19074_24800.png,19074_24800.png,0.01248230238755544,47.900390625,0.0065765380859375,0.36015936732292175,False,False,False,16,19074,24800
19074_24801.png,19074_24801.png,0.006205219527085622,18.1005859375,0.0002288818359375,0.3515614867210388,False,False,False,16,19074,24801
